ID,ID_num,Site,Weather,Y,M,D,時段,Location_x,Location_y,H,M,S,Sp.,#,Ht,Dis,Dir,Ha1,MH2,Wa3,Sl(°)4,C(%)5,U(%)6,Ar (%),So (%),Wa (%),El (%),Be7,Note
2.0231E+12,1,草圣農路,,2023,10,11,2,23.00733,120.40267,16,7,38,五色鳥,1,－,5,WS,1,8,0,0,50,50,50,0,0,0,2,僅鳥音
2.0231E+12,2,草圣農路,,2023,10,11,2,23.00707,120.40258,16,11,44,小彎嘴,3,－,20,WN,1,8,0,-3,50,50,50,0,0,0,2,僅鳥音
2.0231E+12,3,草圣農路,,2023,10,11,2,23.00656,120.40314,16,13,27,樹鵲,2,9,4,ES,9,8,0,-6,50,50,50,0,0,0,2,環境為竹林
2.0231E+12,4,草圣農路,,2023,10,11,2,23.00656,120.40314,16,13,27,大卷尾,2,9,4,ES,9,8,0,-6,50,50,50,0,0,0,2,和上述樹鵲一起停棲、鳴叫
2.0231E+12,5,草圣農路,,2023,10,11,2,23.00551,120.40358,16,17,51,小白鷺,1,0,1,EN,4,5,1,-3,50,5,80,5,10,0,5,
2.0231E+12,6,草圣農路,,2023,10,11,2,23.00509,120.40335,16,21,13,山紅頭,2,－,4,W,9,8,1,0,50,5,80,5,10,0,2,僅鳥音
2.0231E+12,7,草圣農路,,2023,10,11,2,23.00434,120.4033,16,22,58,洋燕,2,－,－,－,9,8,1,3,30,5,80,0,0,15,5,環境為果園，鳥在空中盤旋
2.0231E+12,8,草圣農路,,2023,10,11,2,23.00348,120.4035,16,27,57,貢德氏赤蛙,2,0,7,EN,5,2,1,-3,30,5,80,0,5,10,2,環境為廢棄香蕉園，中間有水塘
2.0231E+12,9,草圣農路,,2023,10,11,2,23.00291,120.4034,16,32,5,洋燕,7,－,－,－,1,8,0,-1,30,30,70,0,0,0,5,在空中盤旋
2.0231E+12,10,草圣農路,,2023,10,11,2,23.00291,120.4034,16,32,5,白頭翁,4,30,30,ES,1,8,0,-1,30,30,70,0,0,0,3,
2.0231E+12,11,草圣農路,,2023,10,11,2,23.00233,120.40353,16,37,49,大彎嘴,1,－,5,E,1,8,0,-3,50,50,50,0,0,0,2,僅鳥音
2.0231E+12,12,草圣農路,,2023,10,11,2,23.00216,120.40398,16,39,53,赤腹松鼠,1,5,5,ES,1,8,0,-1,60,70,30,0,0,0,2,
2.0231E+12,13,草圣農路,,2023,10,11,2,23.00216,120.40398,16,39,53,五色鳥,1,15,20,W,1,8,0,-1,60,70,30,0,0,0,2+5,在西方鳴叫後往西南方飛走
2.0231E+12,14,草圣農路,,2023,10,11,2,23.00184,120.40393,16,42,34,黑枕藍鶲,1,3,0.5,WS,1,8,0,-1,60,70,30,0,0,0,2,停棲在電線上
2.0231E+12,15,草圣農路,,2023,10,11,2,23.00069,120.40427,16,46,30,紅鳩,3,50,10,ES,9,8,0,-7,20,20,80,0,0,0,3,
2.0231E+12,16,草圣農路,,2023,10,11,2,23.00028,120.40469,16,49,1,大卷尾,1,6,2,E,1,8,0,-12,30,30,70,0,0,0,3,
2.0231E+12,17,草圣農路,,2023,10,11,2,22.99987,120.40502,16,51,44,家燕,1,－,－,－,1,8,0,-4,50,50,50,0,0,0,5,在空中盤旋
2.0231E+12,18,草圣農路,,2023,10,11,2,22.99987,120.40502,16,51,44,小雨燕,15,－,－,－,1,8,0,-4,50,50,50,0,0,0,5,在空中盤旋
2.0231E+12,19,草圣農路,,2023,10,11,2,22.99596,120.4038,17,1,51,小彎嘴,1,－,50,WN,1,8,0,-2,40,40,60,0,0,0,2,僅鳥音
2.0231E+12,20,草圣農路,,2023,10,11,2,22.99284,120.40342,17,13,0,大卷尾,4,9,3,EN,1,8,0,-7,80,60,40,0,0,0,2,群聚停棲和鳴叫
2.0231E+12,21,草圣農路,,2023,10,11,2,22.99284,120.40342,17,13,0,樹鵲,2,9,3,EN,1,8,0,-7,80,60,40,0,0,0,2,和上述小卷尾群聚停棲和鳴叫
2.0231E+12,22,草圣農路,,2023,10,11,2,22.99281,120.40467,17,19,50,棕背伯勞,1,1,60,WN,2,1,0,-1,20,70,30,0,0,0,3,也有鳴叫
2.0231E+12,23,草圣農路,,2023,10,11,2,22.99277,120.40621,17,24,40,紅嘴黑鵯,1,6,2,ES,2,8,0,-1,70,60,40,0,0,0,3,單獨一隻停棲電線上
2.0231E+12,24,草圣農路,,2023,10,11,2,22.99268,120.40763,17,32,30,竹雞,1,－,70,WN,1,8,0,4,70,80,20,0,0,0,2,僅鳥音
2.0231E+12,25,草圣農路,,2023,10,11,2,22.99407,120.40308,17,52,32,領角鴞,1,4,3,WS,1,8,0,-1,40,70,30,0,0,0,2,距離很近，但忘記帶手電筒，僅鳥音
2.0231E+12,26,草圣農路,,2023,10,11,2,22.99625,120.40402,17,59,43,鼬獾,1,0,30,EN,9,8,0,-10,40,30,70,0,0,0,5,自東往西移動，後來被狗趕走
2.0231E+12,1,岡林農路,,2023,10,13,2,23.019781,120.3980615,15,53,30,珠頸斑鳩,2,2m/5m,4,SW→NE,9,8,0,-,10,10,90,0,0,0,5,
2.0231E+12,2,岡林農路,,2023,10,13,2,23.019781,120.3980615,15,53,30,白鶺鴒,1,8,8,N→S,9,8,0,-,10,10,90,0,0,0,5,
